|csrf_token|viewer|viewer_id|country_code|language_code|locale|device_id|browser_push_pub_key|key_id|public_key|version|is_dev|rollout_hash|bundle_variant|frontend_dev|id|shortcode|height|width|gating_info|fact_check_overall_rating|fact_check_information|sensitivity_friction_info|media_overlay_info|media_preview|display_url|accessibility_caption|is_video|tracking_token|tagged_users|caption|caption_is_edited|has_ranked_comments|comments|comments_disabled|commenting_disabled_for_viewer|timestamp|likes|location|viewer_has_liked|viewer_has_saved|viewer_has_saved_to_collection|viewer_in_photo_of_you|viewer_can_reshare|video_url|has_audio|video_view_count|username|full_name|upload_date|hashtags
0|D6iS7WnSFbhB9ZUFt5nWK51xdDegcZ6V|||GT|en|en_US|D4425F91-940E-4EE7-8FAA-4E1AAA1A8B58|BIBn3E_rWTci8Xn6P9Xj3btShT85Wdtne0LtwNUyRQ5XjFNkuTq9j4MPAVLvAFhXrUU1A9UxyxBA7YIOjqDIDHI|88|13069813a31a13dda6ba919fe0e9b45035c44b7de391fc460e3f758b7fccf307|10|False|b10813bd9030|es6|prod|2469137459392466653|CJEI2_wss7d|810|1080||||||ACof2HTNQyWhPQimPqMQOMOeccKSPwPerM8ohj3kHp07/lSGZ/2JyeoxTp4AmNnQDBx6+v41bhyy7mGAw4HcfWmwzFnK4ICng9j9KQFECl21rOEZgjY3EZ9+KgNqc8MMfSkMlVWB9qe2CcntRkik4PXg1VhGXf3ZgIAzk/lVizuRNH5nAwSMH29KW5shc9TwPb+tMhtkhXbycUWAlESOSwyCx55I59KsdOOfzqDcqg7crn8RVfJ70rDP/9k=|https://instagram.fgua5-1.fna.fbcdn.net/v/t51.2885-15/e35/s1080x1080/132209057_3582366421878661_3463234463970023799_n.jpg?_nc_ht=instagram.fgua5-1.fna.fbcdn.net&_nc_cat=101&_nc_ohc=Hi7OzDALiugAX8-QZ06&tp=1&oh=55718c291fffed0b717c8f69047fc9f5&oe=6016B0A3|Photo by Bu the Westie in Guatemala City, Guatemala. Image may contain: dog.|False|eyJ2ZXJzaW9uIjo1LCJwYXlsb2FkIjp7ImlzX2FuYWx5dGljc190cmFja2VkIjp0cnVlLCJ1dWlkIjoiMmM2NjJlMjUzMDBkNDc1NDkzYWI0MjE1YmJmZmJjY2UyNDY5MTM3NDU5MzkyNDY2NjUzIn0sInNpZ25hdHVyZSI6IiJ9|[]|"Este año me hicieron falta abrazos de humanos que no pudimos ver por el distanciamiento. 

Eso sí, he sentido el amor y cariño de todos ustedes y eso me llena.

¿Están listos para los días más lindos del año? Yo sí ♥️"|False|False|15|False|False|1608564144|197|Guatemala City, Guatemala|False|False|False|False|True||||buthewestie|Bu the Westie|2020-12-21 09:22:24|[]
1|n9cW3xMiT311ZhtAfXYnEYO9dRBGkbhE|||GT|en|en_US|D4EBBE02-4EF2-46E4-ACA7-4F8908A0C0AF|BIBn3E_rWTci8Xn6P9Xj3btShT85Wdtne0LtwNUyRQ5XjFNkuTq9j4MPAVLvAFhXrUU1A9UxyxBA7YIOjqDIDHI|88|13069813a31a13dda6ba919fe0e9b45035c44b7de391fc460e3f758b7fccf307|10|False|b10813bd9030|es6|prod|2468417674203482018|CJBlMvkMcei|1080|1080||||||ACoqrM9WrW38oeZLxnovfHqfTPp1pyQIiKSNznkE9M+/t/8Arp8iNIck59hU3BIGihkHJYfQ1UOls7DYfk/X/CrsdusI3ynA9P8AGrcjZGAdoHpTuOxRe2ggQscsQDgdB9f89TXO7zW1KhmBXOee+f1xWa1tGCQXOR7D/GmmKxoTF+EU7iPXjitGFhFGHbrWFJLIp45/Wo5rp5ECEEbScde9DQI3JpklX5xkHtUIm35z2rFE5C7elOinaMkg5B7VNhmn5mT6ZpPJjPO0VniYE4p/2j/a/SlqMhJKnHpTTIaln+/URrQkbuJoz6ipEqbAoEVvlNN2inP96m0hn//Z|https://instagram.fgua5-1.fna.fbcdn.net/v/t51.2885-15/e35/s1080x1080/130940663_1036883870152246_2788924215756482001_n.jpg?_nc_ht=instagram.fgua5-1.fna.fbcdn.net&_nc_cat=110&_nc_ohc=-4BdSX8zJ0AAX9Yj7SL&tp=1&oh=387369020476ab8bf3ddf75bcb89e7cd&oe=60155B9C|Photo by Bu the Westie in Guatemala City, Guatemala. Image may contain: people sleeping and dog.|False|eyJ2ZXJzaW9uIjo1LCJwYXlsb2FkIjp7ImlzX2FuYWx5dGljc190cmFja2VkIjp0cnVlLCJ1dWlkIjoiOTc1NTM0MjgxZjIzNDA0NThiZThlMTFkZDA4Y2NjMTAyNDY4NDE3Njc0MjAzNDgyMDE4In0sInNpZ25hdHVyZSI6IiJ9|[]|"Aunque este año fue diferente al resto, estoy seguro que sigues rodeado de humanos y mascotas que te aman. 

Esta época del año es para eso: Compartir amor y ser agradecidos por todo lo bueno ♥️"|True|False|5|False|False|1608478338|201|Guatemala City, Guatemala|False|False|False|False|True||||buthewestie|Bu the Westie|2020-12-20 09:32:18|[]
2|Y5WDcpqc8y0rsED1yI8YciJSgEqLJ9bT|||GT|en|en_US|251B69CB-92EE-4D3A-B536-72AD356D98D8|BIBn3E_rWTci8Xn6P9Xj3btShT85Wdtne0LtwNUyRQ5XjFNkuTq9j4MPAVLvAFhXrUU1A9UxyxBA7YIOjqDIDHI|88|13069813a31a13dda6ba919fe0e9b45035c44b7de391fc460e3f758b7fccf307|10|False|b10813bd9030|es6|prod|2465516633795393616|CI3RlDJMPhQ|735|1080||||||ACocoLJkjHHUZ6Y//X/nrTpQVAZc7fX3x/n6VWEpyBknpjHp6Hvz7VK2QQrdBhsDn649+1IRdz5EZmbljjaD6/8A1qzrWVoZPMHPr7g9atu32ojqFXt/dHcmop4hC3yc8n8gRTKL1xEP9bH91uT9f/r/AM6r+YP8inw3IjO0/cP6UrWW4khyATnpR6AZCblIK/eOMfX/ABq2xmjbMhGRx7/pxXQtbxD5tq5HtWXqaeS42H74JPQ/lxxSY0QPA7sGU/f5IAI6DjI9+gz1xS38axbAM7sfNnr+X+ea2YYlAUgdVHc+np0qaS0jl++Mkd8nP501oS9Tl5ZugXgDjg/SovNk7E/rXSNo9uem4fQ/4g1GNOQcBn4/2v8A61KxpfS1j//Z|https://instagram.fgua5-1.fna.fbcdn.net/v/t51.2885-15/e35/s1080x1080/130847279_1242914122757502_7802670788819766466_n.jpg?_nc_ht=instagram.fgua5-1.fna.fbcdn.net&_nc_cat=106&_nc_ohc=2hKEiJSIJKcAX-D67MY&tp=1&oh=26ff30c9e62958ebedf85be96e567c26&oe=6013F734|Photo by Bu the Westie in Guatemala City, Guatemala. Image may contain: 1 person, shoes and indoor.|False|eyJ2ZXJzaW9uIjo1LCJwYXlsb2FkIjp7ImlzX2FuYWx5dGljc190cmFja2VkIjp0cnVlLCJ1dWlkIjoiNjI3Y2ZjNjU2NDY5NDE5NmExYzAwMjQ4MmZlNzQ4YmUyNDY1NTE2NjMzNzk1MzkzNjE2In0sInNpZ25hdHVyZSI6IiJ9|[]|"Este año por primera vez fuimos a tomar fotos a un estudio (normalmente mis papis las toman). 

Les cuento que la pasé muy bien. Gaby (la humana que toma las fotos) le tuvo mucha paciencia a mi Oli y hasta apretaba a mi chivita para que los dos volteáramos a ver. 

Si todavía no se han tomado al suya, pregúntenle creo que todavía tiene espacio. Y sino ya saben para el otro año o para cualquier ocasión. 

@wowphotographystudiogt  está Bu approved. #dogapproved"|False|False|4|False|False|1608132508|212|Guatemala City, Guatemala|False|False|False|False|True||||buthewestie|Bu the Westie|2020-12-16 09:28:28|['dogapproved']
3|5vFgXtmB2ihqowxoeLeVKvWA8UrpxAsa|||GT|en|en_US|A0334128-ADCC-4A0F-8FD9-F27024D2BC57|BIBn3E_rWTci8Xn6P9Xj3btShT85Wdtne0LtwNUyRQ5XjFNkuTq9j4MPAVLvAFhXrUU1A9UxyxBA7YIOjqDIDHI|88|13069813a31a13dda6ba919fe0e9b45035c44b7de391fc460e3f758b7fccf307|10|False|b10813bd9030|es6|prod|2463507691548670662|CIwIzF4M3rG|871|1080||||||ACoh02uAYvMP3f4vaq0lwohWUH5Tj8MnHNQbnMZiHAPU9zUaRssRhH3GOf8AJ/Cs+Y15SfcZlEmQAxwP5VDKuD5eec4p/wA2xY8DapBGAc5HPP8A+rNNkaR334APsP8AHNK6CzF+zMuclTt7Z5x/n1qvj2qXzZAxbIDHg8Dt7H+dQYHqaTa6FK/Uu9KiMmKmIqEr7UihpkJqMu3SnkE9qbsNIRETTam20mBSuVYvimmiiqEhnaoqKKgoTtVc0UUxM//Z|https://instagram.fgua5-1.fna.fbcdn.net/v/t51.2885-15/e35/s1080x1080/130963137_144357234138391_3041693004415713105_n.jpg?_nc_ht=instagram.fgua5-1.fna.fbcdn.net&_nc_cat=107&_nc_ohc=t2CYeQyu06YAX_Dnors&tp=1&oh=e3dd6788c5f48fbfeeac3cc80ceaaa29&oe=6016CFF9|Photo by Bu the Westie on December 13, 2020. Image may contain: shoes, text that says 'පර and then we were complete. Baby Thiago arriving in March 2021'.|False|eyJ2ZXJzaW9uIjo1LCJwYXlsb2FkIjp7ImlzX2FuYWx5dGljc190cmFja2VkIjp0cnVlLCJ1dWlkIjoiZDQ2NzI1YmExZGI0NDY5ZmIwOTliNmJjYTkzM2ViYzUyNDYzNTA3NjkxNTQ4NjcwNjYyIn0sInNpZ25hdHVyZSI6IiJ9|[]|"¡Tenían razón! Mi Oli va a ser hermana grande 🙃 y yo, el mayor de los 3 ❤️. 

#OliyBu #ThiagoyBu #OliThiagoyBu"|False|False|24|False|False|1607893023|364||False|False|False|False|True||||buthewestie|Bu the Westie|2020-12-13 14:57:03|['OliyBu', 'ThiagoyBu', 'OliThiagoyBu']
4|F4ejlkqj0IhfwjCDxNAdffQCjBci05NN|||GT|en|en_US|4C162E02-7158-4F01-AE88-7A3FC33167EE|BIBn3E_rWTci8Xn6P9Xj3btShT85Wdtne0LtwNUyRQ5XjFNkuTq9j4MPAVLvAFhXrUU1A9UxyxBA7YIOjqDIDHI|88|13069813a31a13dda6ba919fe0e9b45035c44b7de391fc460e3f758b7fccf307|10|False|b10813bd9030|es6|prod|2459061995529560509|CIgV9s0M-G9|1350|1080||||||ACEqvXUh27B0cYz2+g/zxXOsEG5CTuz8ue3bB/D9a05p08zhVO1eqkgc8/r2P1HeqQuwr7kUZPXI7/1/OpZS7P8Ar/giBAHwhJHyjIyBn3B/n0q2qI0nmPwAcgnuR2/H361WknebDEjK56DHHYf061LDc+UMfezztbp6YP8ASpD5ml9rHt/30KKo+ef7qf8AfIoq7Mi5XvUKuQSSccBRxx0Gfx5/WqTqyMMjJbp6fh9DXWkhWAYZHr6VlNYyTT+YSqImAgzn5R/j3Pr7UaDMx3ZE2HpnnHt7+1TRWzueOo9Ryfceuf5Crc+lkksrKM/wnPBPWta2AEYDYLqMZHcDpTsraPUnUxPLPp+horZ20UrPuPQqs0xHQ5Hc4PPb+LtT/MkPOw5/D/GrbD5qdipNbrsvvf8AmZ8xkkPKkDH+z/jRG0iYO0n8AB+HzH/PNX3FKo5oQm12X4mfun9H/wDHKK1qKoV12X4n/9k=|https://instagram.fgua5-1.fna.fbcdn.net/v/t51.2885-15/e35/p1080x1080/129768390_203091781394797_4194145755439839282_n.jpg?_nc_ht=instagram.fgua5-1.fna.fbcdn.net&_nc_cat=101&_nc_ohc=tW_r42cDeDcAX_ilaf4&tp=1&oh=c916980a51e65f919567ab87072bd927&oe=60161351|Photo by Bu the Westie in Guatemala City, Guatemala. Image may contain: christmas tree, dog, plant and tree.|False|eyJ2ZXJzaW9uIjo1LCJwYXlsb2FkIjp7ImlzX2FuYWx5dGljc190cmFja2VkIjp0cnVlLCJ1dWlkIjoiNjFkOTYzZTU1MWExNDE1OGE4Njc0NjNlYTY5OTUwMzgyNDU5MDYxOTk1NTI5NTYwNTA5In0sInNpZ25hdHVyZSI6IiJ9|[]|"Practicando para el 25. ¿Qué mejor regalo que mi amor?
.
#christmaspresent #bestchristmaspresent #alliwantforchristmasisyou"|False|False|6|False|False|1607363055|278|Guatemala City, Guatemala|False|False|False|False|True||||buthewestie|Bu the Westie|2020-12-07 11:44:15|['christmaspresent', 'bestchristmaspresent', 'alliwantforchristmasisyou']
5|VP7Cqynjydrxfguon6rNx1Tey9hXd3th|||GT|en|en_US|6EF0DC08-2FDC-46CC-AF21-CFA44DA79999|BIBn3E_rWTci8Xn6P9Xj3btShT85Wdtne0LtwNUyRQ5XjFNkuTq9j4MPAVLvAFhXrUU1A9UxyxBA7YIOjqDIDHI|88|13069813a31a13dda6ba919fe0e9b45035c44b7de391fc460e3f758b7fccf307|10|False|b10813bd9030|es6|prod|2455520764190886055|CITwyAIMYin|810|1080||||||ACofmiuUkGRx9anWQMMg8GqSxohwmcE5weRjvz/kirqYUZGMDpjnB96WwWIuTcZ7LH17ZJqrqUTSFW6KoOWPQZP8+lXfPOPlG7FRrcqxKkEnjIP6fhSuFjDu4lhKhc8rk5689Pp9Kq10VzZJN8+05I5wcdPrxVQWcGP4v1/woKJRuUbnbAHpwKspKCmFHXPt+dRbQeTSqc5PYdKAKEN4bc7DngnIPXmrPE58xDz3qnNGryFjz7UguDERj7vpTEa7SOFIUBvrVXzrn+6v5/8A16tK4cAjvS5YUhn/2Q==|https://instagram.fgua5-1.fna.fbcdn.net/v/t51.2885-15/e35/s1080x1080/129741017_419670105743210_5254301287569634197_n.jpg?_nc_ht=instagram.fgua5-1.fna.fbcdn.net&_nc_cat=102&_nc_ohc=MXXY_bFgZZAAX8vE_aT&tp=1&oh=a318aa343ce770fc709ebb823a05eb60&oe=60157397|Photo by Bu the Westie in Guatemala City, Guatemala. Image may contain: dog and indoor.|False|eyJ2ZXJzaW9uIjo1LCJwYXlsb2FkIjp7ImlzX2FuYWx5dGljc190cmFja2VkIjp0cnVlLCJ1dWlkIjoiOGFiNWFkYjE1ODU4NDFjYjk1ZjQ5NWQ4YzlhYWM3ZmMyNDU1NTIwNzY0MTkwODg2MDU1In0sInNpZ25hdHVyZSI6IiJ9|[]|Este soy yo en el ombligo de la semana porque a mi Oli le gusta jugar mucho (a veces creo que nunca se cansa).|False|False|3|False|False|1606940907|128|Guatemala City, Guatemala|False|False|False|False|True||||buthewestie|Bu the Westie|2020-12-02 14:28:27|[]
6|89wAPy1M5zWxv16eABwV12V3gHWgX3OD|||GT|en|en_US|9E23790E-27C6-4762-8AB1-F0E8100035CC|BIBn3E_rWTci8Xn6P9Xj3btShT85Wdtne0LtwNUyRQ5XjFNkuTq9j4MPAVLvAFhXrUU1A9UxyxBA7YIOjqDIDHI|88|13069813a31a13dda6ba919fe0e9b45035c44b7de391fc460e3f758b7fccf307|10|False|b10813bd9030|es6|prod|2452636180478429201|CIJg5yMsAgR|1080|1080||||||ACoq0LjGcn061XWVY8CMdQTk+nsAfzP86lvztjz7gVTVs5IIzjGSOg6YHP6nvzVxirX6jLJl37eSpHJA5z9P/r/lUheNuuPoRz+XWqCTfOMDjIGfTmrgikX5kJIbklh39TnnHtnrRL3RWLKYEfAwMnjp+lRU9MiEZO488+vNMrJgQX/EIyc7nXJ/OqSzRKAGAOBjOGGf0rTuY/NjKetUVs5VHD/p/wDXq07KwxqOsjKEGPmA4B9fU1oyEs5HIHBzng/7OPSq8FqyOJHbO3J6e1TFumRgnmpk+wydj+7x6VBv+tPikDdD9P8APvT/ADPpUiHUtFOqgGOMqQO9VpkeQYwAMYq5TaTAowQlDnJ4qwY1PNTMKZSA/9k=|https://instagram.fgua5-1.fna.fbcdn.net/v/t51.2885-15/e35/s1080x1080/127848126_662542651087099_4014264091977832882_n.jpg?_nc_ht=instagram.fgua5-1.fna.fbcdn.net&_nc_cat=107&_nc_ohc=D56zSl8b2GwAX-9xkKd&tp=1&oh=872da6dc2b792303d51e7fb7d04a8014&oe=601736D1|Photo shared by Bu the Westie on November 28, 2020 tagging @hugoapp.gt.|False|eyJ2ZXJzaW9uIjo1LCJwYXlsb2FkIjp7ImlzX2FuYWx5dGljc190cmFja2VkIjp0cnVlLCJ1dWlkIjoiZmJjMzQ1NGQyZjY2NDhjM2E0OWY0ODY4Y2QwYjE1YjEyNDUyNjM2MTgwNDc4NDI5MjAxIn0sInNpZ25hdHVyZSI6IiJ9|['hugoapp.gt']|"Mis papis dicen que este fin de no se cocina. Están aprovechando las ofertas del #purpleweek de @hugoapp.gt . 

¡Hasta me pidieron galletas a mi!

Obvio que era mi premio por dejarme tomar esta foto 💁🏼‍♂️. 

A ver qué piden para la cena, espero que me pidan más galletas 🤤. 

#purplemonth #ad"|False|False|1|False|False|1606597038|148||False|False|False|False|True||||buthewestie|Bu the Westie|2020-11-28 14:57:18|['purpleweek', 'purplemonth', 'ad']
7|Vp1IAaxeNNib73bYCVcrxIHyywnbheMt|||GT|en|en_US|EB4625B6-D263-4152-AE10-EE337499D52B|BIBn3E_rWTci8Xn6P9Xj3btShT85Wdtne0LtwNUyRQ5XjFNkuTq9j4MPAVLvAFhXrUU1A9UxyxBA7YIOjqDIDHI|88|13069813a31a13dda6ba919fe0e9b45035c44b7de391fc460e3f758b7fccf307|10|False|b10813bd9030|es6|prod|2449015070398787995|CH8pjsosrGb|1173|1080||||||ACcquhWXqy/RQPr3pw+Q5yX/AE/l/jTbW3MafvMZzzz0/KpXuinC4I6Ej9KB2Gpbls7QQvuSDmqclwqMUxypwfmb/GrTM8jA/mKbNZiT7xVCxLZ7kk4x/u4x9DSuFin9rA/gU/XJ/nmiorq3W3jJyS6soJ/h5BOB9PU0UxGopecBhyhHIzyPUfXPc03zUi5kAwcjuCccfd7/AFxzVJrh4wVRioPtk/h2FVfKkckgFnxxnr9efSnYjn6JaimbfJkHqcDtWjNdghVBG0DD5Gdw6de3TPBqgunyIoY/M56DsPfPqKaEkhws3BP8I7/lx9al+RcVbc1UlS3QbsFWHAPIx260VVisxL80hJ9B2FFKxRSFwV65X8P6j/EVeskLSiQthcc9gfY59/5VfwKjlRWGGAI9CM1dyOVJ3NBVyexHasm8QpMM42D9M9zyfp2qnOoT7oA+nFOtDuRs89ev0pWKNNW4oqCE/KKKAP/Z|https://instagram.fgua5-1.fna.fbcdn.net/v/t51.2885-15/e35/p1080x1080/126820873_2502895700003366_85521212848097952_n.jpg?_nc_ht=instagram.fgua5-1.fna.fbcdn.net&_nc_cat=102&_nc_ohc=yVqJnIKggTMAX_bHtdH&tp=1&oh=46e9d55c40ea2a7751aa5b928fd80999&oe=60156986|Photo by Bu the Westie in Guatemala City, Guatemala with @paradiso.clothing. Image may contain: dog.|False|eyJ2ZXJzaW9uIjo1LCJwYXlsb2FkIjp7ImlzX2FuYWx5dGljc190cmFja2VkIjp0cnVlLCJ1dWlkIjoiZDFmYzFmMTAwMjYyNDA4ZGI1MzE2MWVjNjc5OGE1MzQyNDQ5MDE1MDcwMzk4Nzg3OTk1In0sInNpZ25hdHVyZSI6IiJ9|['paradiso.clothing']|"Mis amigos de @paradiso.clothing me mandaron un regalo para toda mi familia. 

Lo que no entiendo es: si para mi es el pañuelo, para Oli, papi y mami camisas, ¿para quién es la mini camisa? Ya probé, a mi no me queda. 
.
#alguienquemeexplique  #meclonaronencamisas #earlychristmaspresent"|True|False|18|False|False|1606165368|226|Guatemala City, Guatemala|False|False|False|False|True||||buthewestie|Bu the Westie|2020-11-23 15:02:48|['alguienquemeexplique', 'meclonaronencamisas', 'earlychristmaspresent']
8|ck015Rd50DJB8eGuLI3FeDqQJ7jynqS7|||GT|en|en_US|B862810C-5E22-4CB4-9851-546653E81D13|BIBn3E_rWTci8Xn6P9Xj3btShT85Wdtne0LtwNUyRQ5XjFNkuTq9j4MPAVLvAFhXrUU1A9UxyxBA7YIOjqDIDHI|88|13069813a31a13dda6ba919fe0e9b45035c44b7de391fc460e3f758b7fccf307|10|False|b10813bd9030|es6|prod|2436148176528516473|CHO79v6MqV5|810|1080|||||||https://instagram.fgua5-1.fna.fbcdn.net/v/t51.2885-15/e35/s1080x1080/123688585_360424598373742_8560459315004138122_n.jpg?_nc_ht=instagram.fgua5-1.fna.fbcdn.net&_nc_cat=110&_nc_ohc=BGrYXYFP88MAX-bvHl3&tp=1&oh=c7d401446724c4b71626c7e49e70b86d&oe=6014ABBF|Photo by Bu the Westie on November 05, 2020. Image may contain: dog.|False|eyJ2ZXJzaW9uIjo1LCJwYXlsb2FkIjp7ImlzX2FuYWx5dGljc190cmFja2VkIjp0cnVlLCJ1dWlkIjoiZDA3MTIxMDUzMmVkNDM5MmI2NGIxYzgzMzVkZWRhMTUyNDM2MTQ4MTc2NTI4NTE2NDczIn0sInNpZ25hdHVyZSI6IiJ9|[]|Si, yo sé que halloween ya pasó. Pero, ¿qué culpa tengo yo si mi traje de stitch es la pashama más calientita del mundo?|False|False|6|False|False|1604631515|301||False|False|False|False|True||||buthewestie|Bu the Westie|2020-11-05 20:58:35|[]
9|zwMuJYOVJmEMtSqwEQLsHva1PbkOPVm5|||GT|en|en_US|28B0DD36-83F5-469E-9055-A569858AB790|BIBn3E_rWTci8Xn6P9Xj3btShT85Wdtne0LtwNUyRQ5XjFNkuTq9j4MPAVLvAFhXrUU1A9UxyxBA7YIOjqDIDHI|88|13069813a31a13dda6ba919fe0e9b45035c44b7de391fc460e3f758b7fccf307|10|False|b10813bd9030|es6|c1f|2429486215543800074|CG3RNdQMkEK|810|1080||||||ACofrPOZRjGOFHX0AGenenCIMSc4zx09amltyzKdoXcSO/OPcDuOhoa3eI5XLKTj3B9M96kY7BDZAyMD07Z9xU0a4UA9QBT44uPmOMfl+f8AhTXYIcdc96Vxi4oxTfMUDPapM0wJoZQV2k4Yf549qWUYbd1BI3e3HDfVTjn0PPSsTefTn61fhvM8ScHsR39j79OelArFtjt5HUY+hySM/qKUBR8wA5J/TH+TUe/bgdQCMA/VfT35xioPOCpt9eR+PP6UCLbBT1x/nP8AgaqtJGpI9OKGmDA45/y1ZbStk89zQB//2Q==|https://instagram.fgua5-1.fna.fbcdn.net/v/t51.2885-15/e35/s1080x1080/123029670_349757339442594_6027567925925800674_n.jpg?_nc_ht=instagram.fgua5-1.fna.fbcdn.net&_nc_cat=106&_nc_ohc=NIrXex8b-ykAX9n-QND&tp=1&oh=433ba405d907e0fb7cfb56cec86ee38e&oe=60163D29|Photo by Bu the Westie on October 27, 2020. Image may contain: indoor.|False|eyJ2ZXJzaW9uIjo1LCJwYXlsb2FkIjp7ImlzX2FuYWx5dGljc190cmFja2VkIjp0cnVlLCJ1dWlkIjoiMjYxNGRiNzFjZGQ5NDk3M2I3NmEyNjcwOGYwOGQ0NDcyNDI5NDg2MjE1NTQzODAwMDc0In0sInNpZ25hdHVyZSI6IiJ9|[]|Siesta en la cama de mi Oli ❤️|False|False|0|False|False|1603837347|79||False|False|False|False|True|||||Bu the Westie|2020-10-27 16:22:27|[]
