|csrf_token|viewer|viewer_id|country_code|language_code|locale|device_id|browser_push_pub_key|key_id|public_key|version|is_dev|rollout_hash|bundle_variant|frontend_dev|id|shortcode|height|width|gating_info|fact_check_overall_rating|fact_check_information|sensitivity_friction_info|media_overlay_info|media_preview|display_url|accessibility_caption|is_video|tracking_token|tagged_users|caption|caption_is_edited|has_ranked_comments|comments|comments_disabled|commenting_disabled_for_viewer|timestamp|likes|location|viewer_has_liked|viewer_has_saved|viewer_has_saved_to_collection|viewer_in_photo_of_you|viewer_can_reshare|video_url|has_audio|video_view_count|username|full_name|upload_date|hashtags
0|psMixfXHSbTSfSKSKzWgWk7goNKvtTRi|||GT|en|en_US|976A289F-4484-486F-901D-E50F112D4D2C|BIBn3E_rWTci8Xn6P9Xj3btShT85Wdtne0LtwNUyRQ5XjFNkuTq9j4MPAVLvAFhXrUU1A9UxyxBA7YIOjqDIDHI|108|ae57c2c94c4afb24eeda9cd759faeeb034086d0ebe60e90123baed5e38c3304f|10|False|b10813bd9030|es6|c1f|2473036886398170192|CJR_fIKM3RQ|1080|1080||||||ACoqtRyM8JWXguf3ZxnB6jpjGD/hVJ5S2JGwG4G0E8EdRyeB+PeoCCQQeO9NJ3Hn/GouImd5HckEYbk46dP6dKCoCEkZVuAcEZI64/lQAFhb14/z/npUHmvgKD8o6UipdFa1l945dkeN2clgxfJ+77Y7jr61WZjk4Ix2yBnHv71PMu75sYPp/nv/ADpAVA+4p/BqpaklhmDZwMY/EHP9e/WkKFTggYAzzj0zioI2BO07goyTxjoOv4DgVYdQzhRuwwwDgHHbnpwT1747UtiiKO4LjaeRwOnTk/madKscRwx57YOR68d/T8abtwfJZuDySoPpxx1NO2RlyWLZXABwMZxxgE54/n2puyHv6jk5zknBHTuPp+P/AOqk+Udm/wA/jTInVQwB6dyMYOe55qMgn0/Mf40hGt9nRcnOSQNpOMA8547j2P0605YgOSSTyfz5p68jmn1VkNtvcp/ZEDZGQfbOfxqYwr1yQTnJ6/mDkfT0qQ0HoaBGbJGsBwAQGyScceo+v+RiqpkT0FbwAbg8j0NIVA7ClYpSa0P/2Q==|https://instagram.fgua5-1.fna.fbcdn.net/v/t51.2885-15/e35/132955164_681910449187156_1941474442202071909_n.jpg?_nc_ht=instagram.fgua5-1.fna.fbcdn.net&_nc_cat=104&_nc_ohc=rvnhn_O4SOwAX9--EEj&tp=1&oh=1b99c1d68c27ec829b4f589d8e289315&oe=6014DBF2|Photo by Guatemala Pet Friendly in La Montaña de Utiw. Image may contain: 1 person, plant, flower, tree, outdoor and nature.|False|eyJ2ZXJzaW9uIjo1LCJwYXlsb2FkIjp7ImlzX2FuYWx5dGljc190cmFja2VkIjp0cnVlLCJ1dWlkIjoiNWQ1MDI4NjVkN2UwNDY1ZTgxMWIxMjYyYWY4NDc4YTYyNDczMDM2ODg2Mzk4MTcwMTkyIn0sInNpZ25hdHVyZSI6IiJ9|[]|"¡Feliz Navidad (tarde) amigos! 🎄🐾😊🤭
Espero que se la hayan pasado muy guau y comiendo muy rico 😋🐶
Miren que bonito rincón navideño encontramos en @elutiw 
.
.
#guatemalapetfriendly #petfriendly #petfriendlygt #sanbartolo #sanlucas #guatemala #labrador #vidadeperro #dogslife #happydog #perrofeliz #clublabradorgt #cholatelab #perrosdeguatemala #chuchos #dogmodel #instadog #dogofinstragram"|False|False|11|False|False|1609028991|121|La Montaña de Utiw|False|False|False|False|True||||guatemalapetfriendly|Guatemala Pet Friendly|2020-12-26 18:29:51|['guatemalapetfriendly', 'petfriendly', 'petfriendlygt', 'sanbartolo', 'sanlucas', 'guatemala', 'labrador', 'vidadeperro', 'dogslife', 'happydog', 'perrofeliz', 'clublabradorgt', 'cholatelab', 'perrosdeguatemala', 'chuchos', 'dogmodel', 'instadog', 'dogofinstragram']
1|P0I9bpgN2r461M6mTdBfqGQfgSpYESr1|||GT|en|en_US|0E8AC589-E686-426F-B395-B028D65D4ACC|BIBn3E_rWTci8Xn6P9Xj3btShT85Wdtne0LtwNUyRQ5XjFNkuTq9j4MPAVLvAFhXrUU1A9UxyxBA7YIOjqDIDHI|108|ae57c2c94c4afb24eeda9cd759faeeb034086d0ebe60e90123baed5e38c3304f|10|False|b10813bd9030|es6|prod|2456366090644652621|CIWw_HvMIJN|607|1080|||||||https://instagram.fgua5-1.fna.fbcdn.net/v/t51.2885-15/e35/129721385_2822022764699110_4778364864244203481_n.jpg?_nc_ht=instagram.fgua5-1.fna.fbcdn.net&_nc_cat=110&_nc_ohc=Vp0D5X8kW3EAX-tRQ1F&tp=1&oh=90db7542c5bcd15dc3d5eeaa524cff98&oe=6011CF28|Photo by Guatemala Pet Friendly on December 03, 2020. Image may contain: dog.|False|eyJ2ZXJzaW9uIjo1LCJwYXlsb2FkIjp7ImlzX2FuYWx5dGljc190cmFja2VkIjp0cnVlLCJ1dWlkIjoiODM1N2IyNjYwMGVhNGFmN2FlMjU2NjYwZTBmN2Q0NGQyNDU2MzY2MDkwNjQ0NjUyNjIxIn0sInNpZ25hdHVyZSI6IiJ9|[]|"Amigos les cuento que visité un hotel de lo más #guau #SelinaAtitlan @selina es super #petfriendly 🐕👍 Me encontré con varios amigos locales y turistas y a todos nos trataban de lo mejor #Mauricio 🐶 #RecomendacionPetFriendly
.
.
#guatemalapetfriendly #hotelpetfriendly #atitlan #panajachel #viajacontumascota #dogtravel #dogventures #petfriendlyguatemala #petfriendlygt #vidadeperro #dogslife #happydog #perrofeliz #perrosdeguatemala #chuchosgt #dogmodel #clublabradorgt #labrador #chocolatelab  #dogs #perros #Guatemala #instadog #instapet"|True|False|7|False|False|1607041678|107|Selina|False|False|False|False|True||||guatemalapetfriendly|Guatemala Pet Friendly|2020-12-03 18:27:58|['guau', 'SelinaAtitlan', 'petfriendly', 'Mauricio', 'RecomendacionPetFriendly', 'guatemalapetfriendly', 'hotelpetfriendly', 'atitlan', 'panajachel', 'viajacontumascota', 'dogtravel', 'dogventures', 'petfriendlyguatemala', 'petfriendlygt', 'vidadeperro', 'dogslife', 'happydog', 'perrofeliz', 'perrosdeguatemala', 'chuchosgt', 'dogmodel', 'clublabradorgt', 'labrador', 'chocolatelab', 'dogs', 'perros', 'Guatemala', 'instadog', 'instapet']
2|m8d1zSMBmqSpevMmOiFgDI8pbpbWvGh0|||GT|en|en_US|4781556F-0287-47E2-A9D9-E7831A9CF105|BIBn3E_rWTci8Xn6P9Xj3btShT85Wdtne0LtwNUyRQ5XjFNkuTq9j4MPAVLvAFhXrUU1A9UxyxBA7YIOjqDIDHI|108|ae57c2c94c4afb24eeda9cd759faeeb034086d0ebe60e90123baed5e38c3304f|10|False|b10813bd9030|es6|prod|2454797301201255721|CIRMSOtsD0p|694|1080||||||ACoavlD1qNkNOfnqc0gYgdfwrZMxaIylN2VXv5XRQynHbj/P+cVNJMD3yD6U+fvoLk2a6gUo2VEJs+tP8z3pqaezFytEQmJ68Cnbz7mkporg5n3f3nVZEF2CyhVHPJP6c022uFRNj8EZ7Vexgfl/OggYp30syiPzd3Qgim7n9B+dNjUBjgAcVZqXoI//2Q==|https://instagram.fgua5-1.fna.fbcdn.net/v/t51.2885-15/e35/128426557_446374630094194_5517842083308636987_n.jpg?_nc_ht=instagram.fgua5-1.fna.fbcdn.net&_nc_cat=110&_nc_ohc=aeonmMkaxEAAX-X1V7B&tp=1&oh=b4895fefdeec2ff003ae2534283095d5&oe=601485AD|Photo by Guatemala Pet Friendly in Atitlán, Solola, Guatemala. Image may contain: one or more people, mountain, sky, cloud, outdoor and nature.|False|eyJ2ZXJzaW9uIjo1LCJwYXlsb2FkIjp7ImlzX2FuYWx5dGljc190cmFja2VkIjp0cnVlLCJ1dWlkIjoiZGJiMGRjMjNmZmZiNDEyNTlmMmYyMDhiYTYwMGYwYjEyNDU0Nzk3MzAxMjAxMjU1NzIxIn0sInNpZ25hdHVyZSI6IiJ9|[]|"🦌Hola #diciembre 🦌 ya llegó Mau-reno 🎄⛰🐾 #Mauricio 
.
🦌 de @latidogsgt 
.
#guatemalapetfriendly #Atitlan #panajachel #dogventures #hikingdog #vidadeperro #dogslife #happydog #perrofeliz #perrosdeguatemala #chuchosgt #dogmodel #clublabradorgt #labrador #chocolatelab #instadog #dogs #perros #Guatemala #instapet #guate"|True|False|23|False|False|1606854663|153|Atitlán, Solola, Guatemala|False|False|False|False|True||||guatemalapetfriendly|Guatemala Pet Friendly|2020-12-01 14:31:03|['diciembre', 'Mauricio', 'guatemalapetfriendly', 'Atitlan', 'panajachel', 'dogventures', 'hikingdog', 'vidadeperro', 'dogslife', 'happydog', 'perrofeliz', 'perrosdeguatemala', 'chuchosgt', 'dogmodel', 'clublabradorgt', 'labrador', 'chocolatelab', 'instadog', 'dogs', 'perros', 'Guatemala', 'instapet', 'guate']
3|jnPsGexB2t4qcH1oxxNMTc6853wX8x9i|||GT|en|en_US|9E8EB552-0BBB-4DD0-9868-E324C6D32270|BIBn3E_rWTci8Xn6P9Xj3btShT85Wdtne0LtwNUyRQ5XjFNkuTq9j4MPAVLvAFhXrUU1A9UxyxBA7YIOjqDIDHI|108|ae57c2c94c4afb24eeda9cd759faeeb034086d0ebe60e90123baed5e38c3304f|10|False|b10813bd9030|es6|c1f|2454315896743897079|CIPe034A6f3|607|1080|||||||https://instagram.fgua5-1.fna.fbcdn.net/v/t51.2885-15/e35/128510341_2344236049054891_650927170424843196_n.jpg?_nc_ht=instagram.fgua5-1.fna.fbcdn.net&_nc_cat=107&_nc_ohc=vF5ISwMycWsAX9WkRbR&tp=1&oh=f21eb0470ef35da6ce5e359c2dcac3a2&oe=6012FE67|Photo by Guatemala Pet Friendly on November 30, 2020. Image may contain: sky, mountain, ocean, outdoor and nature.|False|eyJ2ZXJzaW9uIjo1LCJwYXlsb2FkIjp7ImlzX2FuYWx5dGljc190cmFja2VkIjp0cnVlLCJ1dWlkIjoiYzI2MjgzMmU4MWQ5NDFkNWI5ZDQzOTJiYjY2ZDMyYzYyNDU0MzE1ODk2NzQzODk3MDc5In0sInNpZ25hdHVyZSI6IiJ9|[]|"Se que he estado un poco ausente, es que mi secretaria/mamá se he estado peleando con el 📱 dice que ya no le hace caso 😂. Pero les cuento que este año fuimos a celebrar nuestros cumpleaños a un lugar muy hermoso; #panajachel 🏞⛰ no es tan #petfriendly como hubiéramos querido pero logramos disfrutar y pasarla muy #guau 🐾 #Mauricio 🐶
.
.
#perroviajero #dogtravel #atitlan  #guatemalapetfriendly #petfriendlyguatemala #petfriendlygt  #dogventure #vidadeperro #dogslife #happydog #perrofeliz #perrosdeguatemala #chuchosgt #dogmodel #clublabradorgt #labrador #chocolatelab #instadog #dogs #perros #Guatemala #instadog #instapet #dogs #perros"|False|False|4|False|False|1606797276|121|Panajachel Lago de Atitlan|False|False|False|False|True||||guatemalapetfriendly|Guatemala Pet Friendly|2020-11-30 22:34:36|['panajachel', 'petfriendly', 'guau', 'Mauricio', 'perroviajero', 'dogtravel', 'atitlan', 'guatemalapetfriendly', 'petfriendlyguatemala', 'petfriendlygt', 'dogventure', 'vidadeperro', 'dogslife', 'happydog', 'perrofeliz', 'perrosdeguatemala', 'chuchosgt', 'dogmodel', 'clublabradorgt', 'labrador', 'chocolatelab', 'instadog', 'dogs', 'perros', 'Guatemala', 'instadog', 'instapet', 'dogs', 'perros']
4|Agj2Xko1j72Ub0iZRy75Vr5bAQSbeCQq|||GT|en|en_US|D2937A87-DCE6-4967-9284-2D286D413E70|BIBn3E_rWTci8Xn6P9Xj3btShT85Wdtne0LtwNUyRQ5XjFNkuTq9j4MPAVLvAFhXrUU1A9UxyxBA7YIOjqDIDHI|108|ae57c2c94c4afb24eeda9cd759faeeb034086d0ebe60e90123baed5e38c3304f|10|False|b10813bd9030|es6|prod|2441016441645997690|CHgO4VHMp56|1080|1080|||||||https://instagram.fgua5-1.fna.fbcdn.net/v/t51.2885-15/e35/125407937_811940352712708_8128665077349425698_n.jpg?_nc_ht=instagram.fgua5-1.fna.fbcdn.net&_nc_cat=104&_nc_ohc=szv5sQxRdv8AX8SMeCM&tp=1&oh=1e071403334aec4b37ed2af3fd52f01f&oe=60119791|Photo by Guatemala Pet Friendly on November 12, 2020. Image may contain: one or more people.|False|eyJ2ZXJzaW9uIjo1LCJwYXlsb2FkIjp7ImlzX2FuYWx5dGljc190cmFja2VkIjp0cnVlLCJ1dWlkIjoiNDA1YjE3OGMxM2EyNDAwNWJlMzNmZTRmODBlNWM1NTkyNDQxMDE2NDQxNjQ1OTk3NjkwIn0sInNpZ25hdHVyZSI6IiJ9|[]|"El Bosque de @antiguacerveza está en todo 🌳🐕 ideal para el relax con #distanciamientosocial y disfrutar de buena bebida y comida de @chermol.restaurante 🍻🍔😋 #Mauricio 🐶
.
.
.
#guatemalapetfriendly #dogsandbeer #petfriendlygt #petfriendlyguatemala #antiguaguatemala #vidadeperro #dogslife #happydog #perrofeliz #perrosdeguatemala #chuchosgt #dogmodel #clublabradorgt #labrador #chocolatelab #instadog #dogs #perros #Guatemala #instapet #petfriendly"|False|False|5|False|False|1605211857|81|Antigua Guatemala, Sacatepequez|False|False|False|False|True||||guatemalapetfriendly|Guatemala Pet Friendly|2020-11-12 14:10:57|['distanciamientosocial', 'Mauricio', 'guatemalapetfriendly', 'dogsandbeer', 'petfriendlygt', 'petfriendlyguatemala', 'antiguaguatemala', 'vidadeperro', 'dogslife', 'happydog', 'perrofeliz', 'perrosdeguatemala', 'chuchosgt', 'dogmodel', 'clublabradorgt', 'labrador', 'chocolatelab', 'instadog', 'dogs', 'perros', 'Guatemala', 'instapet', 'petfriendly']
5|UmIETnUAyzdVfx2wzY2TpBgelLuhUj09|||GT|en|en_US|CEB49FEF-A2EE-4BAB-A767-5C34B36BEF22|BIBn3E_rWTci8Xn6P9Xj3btShT85Wdtne0LtwNUyRQ5XjFNkuTq9j4MPAVLvAFhXrUU1A9UxyxBA7YIOjqDIDHI|108|ae57c2c94c4afb24eeda9cd759faeeb034086d0ebe60e90123baed5e38c3304f|10|False|b10813bd9030|es6|prod|2435559184133097665|CHM2Cx_sYjB|607|1080|||||||https://instagram.fgua5-1.fna.fbcdn.net/v/t51.2885-15/e35/123290916_400949987747206_6138400056483545203_n.jpg?_nc_ht=instagram.fgua5-1.fna.fbcdn.net&_nc_cat=110&_nc_ohc=G8hjFqdJ-Y0AX8Kg1BP&tp=1&oh=88fca726063e1b1ba2c81d1cba3211fe&oe=6013E038|Photo by Guatemala Pet Friendly on November 04, 2020. Image may contain: cloud, mountain, sky, outdoor and nature.|False|eyJ2ZXJzaW9uIjo1LCJwYXlsb2FkIjp7ImlzX2FuYWx5dGljc190cmFja2VkIjp0cnVlLCJ1dWlkIjoiMzEwYWI1MjlhMmU2NGM3NGE5NDAwODczZDVkMjQyNzMyNDM1NTU5MTg0MTMzMDk3NjY1In0sInNpZ25hdHVyZSI6IiJ9|[]|"Nada mejor que disfrutar de la naturaleza en lugares GUAU como @laescondida20 🐕⛰ Pueden ir con toda la familia y hacer muchas actividades para pasarsela GUAU 🌋🏕🐂 #Mauricio 🐶
.
.
#guatemalapetfriendly #petfriendlygt #petfriendlyguatemala #dogventure  #volcanpacaya #vidadeperro #dogslife #happydog #perrofeliz #perrosdeguatemala #chuchosgt #dogmodel #clublabradorgt #labrador #chocolatelab #instadog #dogs #perros #doghiking #Guatemala #instapet"|False|False|1|False|False|1604561301|136|Finca La Escondida|False|False|False|False|True||||guatemalapetfriendly|Guatemala Pet Friendly|2020-11-05 01:28:21|['Mauricio', 'guatemalapetfriendly', 'petfriendlygt', 'petfriendlyguatemala', 'dogventure', 'volcanpacaya', 'vidadeperro', 'dogslife', 'happydog', 'perrofeliz', 'perrosdeguatemala', 'chuchosgt', 'dogmodel', 'clublabradorgt', 'labrador', 'chocolatelab', 'instadog', 'dogs', 'perros', 'doghiking', 'Guatemala', 'instapet']
6|EFoay3kFsrx3s2IWdGkA1paTK4ip9Aik|||GT|en|en_US|3AFEDC5B-D4F0-48AB-A593-49C6F944F660|BIBn3E_rWTci8Xn6P9Xj3btShT85Wdtne0LtwNUyRQ5XjFNkuTq9j4MPAVLvAFhXrUU1A9UxyxBA7YIOjqDIDHI|108|ae57c2c94c4afb24eeda9cd759faeeb034086d0ebe60e90123baed5e38c3304f|10|False|b10813bd9030|es6|prod|2434016601964768635|CHHXTQZg217|608|1080||||||ACoXqnHbGB0xnPQHGD0A9e9VfUdBxx+PSrW6I/eDdc8fTFCxwdDvz0zj+YzSAVSZAyE4+XI+oxj9D+VUWJXO/wDD098Vf2J5qxxYO5SSSD+R5zU7WjNjcVwOwzSsBlLExQy9QDt9849PQA1ZFumOev8An3q+tqgOcsMDHHoevak+wQerUwJEkSPjPJ9B/jU0kyx8t+HHNFFMCq6JJJ5qEpIO+ODxjkf4U5nkAAJUN3Azj9aKKAFPynLE8/lT6KKAP//Z|https://instagram.fgua5-1.fna.fbcdn.net/v/t51.2885-15/e35/123367860_399719838073783_638740125218289741_n.jpg?_nc_ht=instagram.fgua5-1.fna.fbcdn.net&_nc_cat=107&_nc_ohc=6NT5i5pGY-QAX9BH40C&tp=1&oh=7c9a4a9fa8e1067656a915d014006d6f&oe=60129ACA|Photo by Guatemala Pet Friendly in Zona 11 anillo Periférico. Image may contain: one or more people, dog, tree and outdoor.|False|eyJ2ZXJzaW9uIjo1LCJwYXlsb2FkIjp7ImlzX2FuYWx5dGljc190cmFja2VkIjp0cnVlLCJ1dWlkIjoiZTZjMzY4MGJhZGY0NGU4NzkyNmYwMjYzMDc0ZDY4YzgyNDM0MDE2NjAxOTY0NzY4NjM1In0sInNpZ25hdHVyZSI6IiJ9|[]|"Solo 1 vez al año se puede hacer esto a medio periférico 😉🐕📷 #1noviembre #Mauricio 🐶
.
.
#guatemalapetfriendly #ciudadeguatemala #vidadeperro #dogslife #happydog #perrofeliz #perrosdeguatemala #chuchosgt #dogmodel #clublabradorgt #labrador #chocolatelab #Guatemala #instadog #instapet #dogs #perros"|False|False|4|False|False|1604377411|100|Zona 11 anillo Periférico|False|False|False|False|True||||guatemalapetfriendly|Guatemala Pet Friendly|2020-11-02 22:23:31|['1noviembre', 'Mauricio', 'guatemalapetfriendly', 'ciudadeguatemala', 'vidadeperro', 'dogslife', 'happydog', 'perrofeliz', 'perrosdeguatemala', 'chuchosgt', 'dogmodel', 'clublabradorgt', 'labrador', 'chocolatelab', 'Guatemala', 'instadog', 'instapet', 'dogs', 'perros']
7|SnwMqSU8p5CX3Gchr2be11Nj3sYTglcn|||GT|en|en_US|A0F5A61B-D16C-4542-A4F9-F4E2941BB0B5|BIBn3E_rWTci8Xn6P9Xj3btShT85Wdtne0LtwNUyRQ5XjFNkuTq9j4MPAVLvAFhXrUU1A9UxyxBA7YIOjqDIDHI|108|ae57c2c94c4afb24eeda9cd759faeeb034086d0ebe60e90123baed5e38c3304f|10|False|b10813bd9030|es6|prod|2432881760165586957|CHDVRInMmgN|1080|1080|||||||https://instagram.fgua5-1.fna.fbcdn.net/v/t51.2885-15/e35/123161233_376290813492904_298246334021987584_n.jpg?_nc_ht=instagram.fgua5-1.fna.fbcdn.net&_nc_cat=104&_nc_ohc=p3elr7VU1yoAX-wj7pK&tp=1&oh=fb94c1adff77ba48ff3c4a8d614cdb66&oe=6013250D|Photo by Guatemala Pet Friendly on November 01, 2020. Image may contain: text that says 'CHOCO'.|False|eyJ2ZXJzaW9uIjo1LCJwYXlsb2FkIjp7ImlzX2FuYWx5dGljc190cmFja2VkIjp0cnVlLCJ1dWlkIjoiYWU0ODJiYmNlYTFjNDI4NDljZTU5MGVjMjA0ZjljMDQyNDMyODgxNzYwMTY1NTg2OTU3In0sInNpZ25hdHVyZSI6IiJ9|[]|"""...asi estoy celebrando que me he vuelto un CHOCO loco"" 🎶🎸💀🐶
Oficialmente la época más linda del año 😉🎉 #Mauricio 🐶
Gracias @chocolatososgt por las fotos de hace 1 año 😁

👕 : @nicolette.petfashion.gt
.
.
#guatemalapetfriendly #1noviembre #coco #recuerdame #vidadeperro #dogslife #happydog #perrofeliz #perrosdeguatemala #chuchosgt #dogmodel #clublabradorgt #labrador #chocolatelab #instadog #dogs #perros #Guatemala #instapet #dogcostumes"|True|False|8|False|False|1604242127|226|Guatemala City, Guatemala|False|False|False|False|True||||guatemalapetfriendly|Guatemala Pet Friendly|2020-11-01 08:48:47|['Mauricio', 'guatemalapetfriendly', '1noviembre', 'coco', 'recuerdame', 'vidadeperro', 'dogslife', 'happydog', 'perrofeliz', 'perrosdeguatemala', 'chuchosgt', 'dogmodel', 'clublabradorgt', 'labrador', 'chocolatelab', 'instadog', 'dogs', 'perros', 'Guatemala', 'instapet', 'dogcostumes']
8|xu60ATstjU6tBvYygtbAHFqAYXptsaEX|||GT|en|en_US|D08C18E6-C89E-4446-8836-ABB49572E621|BIBn3E_rWTci8Xn6P9Xj3btShT85Wdtne0LtwNUyRQ5XjFNkuTq9j4MPAVLvAFhXrUU1A9UxyxBA7YIOjqDIDHI|108|ae57c2c94c4afb24eeda9cd759faeeb034086d0ebe60e90123baed5e38c3304f|10|False|b10813bd9030|es6|prod|2429661818382208939|CG35I0JAE-r|608|1080|||||||https://instagram.fgua5-1.fna.fbcdn.net/v/t51.2885-15/e35/123013335_360528561932333_3953871345162816367_n.jpg?_nc_ht=instagram.fgua5-1.fna.fbcdn.net&_nc_cat=105&_nc_ohc=kXDou5ADhTAAX-Uil7r&tp=1&oh=828fac2d6d49bdb3b2ccb3900011f13c&oe=6012B5F3|Photo by Guatemala Pet Friendly on October 27, 2020. Image may contain: tree, plant, sky, outdoor, nature and water.|False|eyJ2ZXJzaW9uIjo1LCJwYXlsb2FkIjp7ImlzX2FuYWx5dGljc190cmFja2VkIjp0cnVlLCJ1dWlkIjoiMTQ0MTkxYWFkZGNmNDc4NDkwMDNhZTNiYWM3Y2Q5NzQyNDI5NjYxODE4MzgyMjA4OTM5In0sInNpZ25hdHVyZSI6IiJ9|[]|"@earthlodgeguatemala es un lugar super GUAU, con una vista super GUAU para salir de la ciudad y pasear un poco 🐾👍 tienen comida muy rica y aguacates por todos lado 😋🥑 #Mauricio 🐶
.
.
#guatemalapetfriendly #petfriendlygt #petfriendlyguatemala #antiguaguatemala  #vidadeperro #dogslife #happydog #perrofeliz #perrosdeguatemala #chuchosgt #dogmodel #clublabradorgt #labrador #chocolatelab #instadog #dogs #perros #Guatemala #instapet #dogs #perros"|False|False|1|False|False|1603858280|89|Earth Lodge|False|False|False|False|True||||guatemalapetfriendly|Guatemala Pet Friendly|2020-10-27 22:11:20|['Mauricio', 'guatemalapetfriendly', 'petfriendlygt', 'petfriendlyguatemala', 'antiguaguatemala', 'vidadeperro', 'dogslife', 'happydog', 'perrofeliz', 'perrosdeguatemala', 'chuchosgt', 'dogmodel', 'clublabradorgt', 'labrador', 'chocolatelab', 'instadog', 'dogs', 'perros', 'Guatemala', 'instapet', 'dogs', 'perros']
9|Bk5xDcHsIY0OTG92ZiCYcUNLUlxlNkhy|||GT|en|en_US|89487E68-3D66-4E19-8729-1A49FCD61610|BIBn3E_rWTci8Xn6P9Xj3btShT85Wdtne0LtwNUyRQ5XjFNkuTq9j4MPAVLvAFhXrUU1A9UxyxBA7YIOjqDIDHI|108|ae57c2c94c4afb24eeda9cd759faeeb034086d0ebe60e90123baed5e38c3304f|10|False|b10813bd9030|es6|prod|2424143762696622416|CGkSeiUAtFQ|1333|750||||||ABcqseQwGCQB7Z/oP604WQ65H5Z/mamN4p6KTTGvc8BR+JqNBaCfY/f9KKT7W2MYBopaBoQlPLOHZVPpyT+QFVnUJu7sc49qJLSVmwFJk3csemPr0wPzqG8thAAd5eTv6Aex68frVJJF2tsPsEeXdk4Ax19e/wD9eils5/LGCM55/Sik7dSNC69xJNkR9Bxn/CqL2zEHcR+Jq3Fwi/SornoPrTtcpka2/Gc4op0B4oosTY//2Q==|https://instagram.fgua5-1.fna.fbcdn.net/v/t51.2885-15/e35/122024950_351385076075461_4998195048949611046_n.jpg?_nc_ht=instagram.fgua5-1.fna.fbcdn.net&_nc_cat=101&_nc_ohc=gsiDcxUgGiIAX8yHANm&tp=1&oh=917bf83c063243bd2aeaf6f906b1021a&oe=5FEB93E9||True|eyJ2ZXJzaW9uIjo1LCJwYXlsb2FkIjp7ImlzX2FuYWx5dGljc190cmFja2VkIjp0cnVlLCJ1dWlkIjoiZDEzZmYyZGYzNTJiNDg1NjhkYjc0MTYzNTc4ZGY1ZGIyNDI0MTQzNzYyNjk2NjIyNDE2In0sInNpZ25hdHVyZSI6IiJ9|[]|@earthlodgeguatemala #guatemalapetfriendly #antiguaguatemala #vidadeperro #dogslife #dogs #perros #dogventures|False|False|7|False|False|1603200603|77||False|False|False|False|True|https://instagram.fgua5-1.fna.fbcdn.net/v/t50.2886-16/121966386_265504028160343_7306790508291928136_n.mp4?_nc_ht=instagram.fgua5-1.fna.fbcdn.net&_nc_cat=107&_nc_ohc=s_Ud791Y2MAAX_K-CTP&oe=5FEBEE40&oh=7141c25254f843d75e508ace3ef7d859|True|496.0|guatemalapetfriendly|Guatemala Pet Friendly|2020-10-20 07:30:03|['guatemalapetfriendly', 'antiguaguatemala', 'vidadeperro', 'dogslife', 'dogs', 'perros', 'dogventures']
