|csrf_token|viewer|viewer_id|country_code|language_code|locale|device_id|browser_push_pub_key|key_id|public_key|version|is_dev|rollout_hash|bundle_variant|frontend_dev|id|shortcode|height|width|gating_info|fact_check_overall_rating|fact_check_information|sensitivity_friction_info|media_overlay_info|media_preview|display_url|accessibility_caption|is_video|tracking_token|tagged_users|caption|caption_is_edited|has_ranked_comments|comments|comments_disabled|commenting_disabled_for_viewer|timestamp|likes|location|viewer_has_liked|viewer_has_saved|viewer_has_saved_to_collection|viewer_in_photo_of_you|viewer_can_reshare|video_url|has_audio|video_view_count|username|full_name|upload_date|hashtags
0|BcPzhUbDgc0XazI528Nq5T9HYif4oN0x|||GT|en|en_US|921659B0-26A7-480F-81BF-7FC0739AB83B|BIBn3E_rWTci8Xn6P9Xj3btShT85Wdtne0LtwNUyRQ5XjFNkuTq9j4MPAVLvAFhXrUU1A9UxyxBA7YIOjqDIDHI|88|13069813a31a13dda6ba919fe0e9b45035c44b7de391fc460e3f758b7fccf307|10|False|b10813bd9030|es6|prod|2475250756424307745|CJZ23LSsBQh|1349|1080|||||||https://instagram.fgua5-1.fna.fbcdn.net/v/t51.2885-15/e35/p1080x1080/133705932_2882382918674111_158605748520265733_n.jpg?_nc_ht=instagram.fgua5-1.fna.fbcdn.net&_nc_cat=111&_nc_ohc=wKvsVKfsKPQAX_NxzXm&tp=1&oh=cc4ebe3746cd433c540a31e7bcf21761&oe=601479BC|Photo by ORUS 🐶 on December 29, 2020. Image may contain: dog, sky, tree, mountain, outdoor, nature and water.|False|eyJ2ZXJzaW9uIjo1LCJwYXlsb2FkIjp7ImlzX2FuYWx5dGljc190cmFja2VkIjp0cnVlLCJ1dWlkIjoiYWQzMDZkZjMyNDlmNGU5YjgxYWJkNmYzNjg4YTBmNjYyNDc1MjUwNzU2NDI0MzA3NzQ1In0sInNpZ25hdHVyZSI6IiJ9|[]|"Te imaginas desayunar en un lugar así todos los días? 😍🐾

Yo estaba desayunando mi @supercan.msa 💛
.
.
.
.
#viajaconnosotrosgt #quepeladoguate #antiguaguatemala #quebonitaguate #instapuppy #instaguate #instadog #guatemala #guate  #laantiguaguatemala #guateperro #guatedog #guatemalaimpresionante #visitguatemala #perhapsyouneedalittleguatemala #vive_america #guatelinda #soy502"|False|False|5|False|False|1609292905|756|Santa Clara La Laguna, Solola, Guatemala|False|False|False|False|True||||viajaconorus|ORUS 🐶|2020-12-29 19:48:25|['viajaconnosotrosgt', 'quepeladoguate', 'antiguaguatemala', 'quebonitaguate', 'instapuppy', 'instaguate', 'instadog', 'guatemala', 'guate', 'laantiguaguatemala', 'guateperro', 'guatedog', 'guatemalaimpresionante', 'visitguatemala', 'perhapsyouneedalittleguatemala', 'vive_america', 'guatelinda', 'soy502']
1|92jWnuQnr6qEkcz21MjhHLDstanO5H7I|||GT|en|en_US|701CBE82-087B-4F69-BBD5-C133AAD091F6|BIBn3E_rWTci8Xn6P9Xj3btShT85Wdtne0LtwNUyRQ5XjFNkuTq9j4MPAVLvAFhXrUU1A9UxyxBA7YIOjqDIDHI|88|13069813a31a13dda6ba919fe0e9b45035c44b7de391fc460e3f758b7fccf307|10|False|b10813bd9030|es6|prod|2471633081865386102|CJNATFTsLh2|720|1080||||||ACoc55alFQirUMBlBYYIQrkd8E9foO9QzaLI+9Ieat+S1xISPlDAsMDPTt9abK/nEA8Mo2ntk+tSUUiKbWjc2phUbsDIySDn9M1n1aM3oPFaVhcJDnP32456Y9ayqUkgUrCNUfK4lThDk/T6D361VuFb/Xkj5ySB3PPpTJiQwAJGFUce9WJDuLqQMRp8vtU7aj30IpJiyBWAO3gE/niqh5OelIabVpEt3P/Z|https://instagram.fgua5-1.fna.fbcdn.net/v/t51.2885-15/e35/s1080x1080/132308568_168752488317586_7203775670046059945_n.jpg?_nc_ht=instagram.fgua5-1.fna.fbcdn.net&_nc_cat=110&_nc_ohc=m1bdRjOO0_wAX8HhsqY&tp=1&oh=5144acb63356519caa968537bd4e6249&oe=60179220|Photo by ORUS 🐶 in Antigua Guatemala, Sacatepequez with @viajaconnosotrosgt. Image may contain: 2 people, people sitting, night, shoes, dog and outdoor.|False|eyJ2ZXJzaW9uIjo1LCJwYXlsb2FkIjp7ImlzX2FuYWx5dGljc190cmFja2VkIjp0cnVlLCJ1dWlkIjoiZTY5N2Y5NThhMTFmNDAzMGJlOWE3ZDAzMzZkNGE4MDUyNDcxNjMzMDgxODY1Mzg2MTAyIn0sInNpZ25hdHVyZSI6IiJ9|['viajaconnosotrosgt']|"FELIZ NAVIDAD, espero que coman muchos tamales y que no quemen tantos cuetes dónde viven. Los amo 🎄
.
.
.
.
#viajaconnosotrosgt #quepeladoguate #antiguaguatemala #quebonitaguate #instapuppy #instaguate #instadog #guatemala #guate  #laantiguaguatemala #guateperro #guatedog #guatemalaimpresionante #visitguatemala #perhapsyouneedalittleguatemala  #guatelinda #soy502 #xmastime #christmastime"|False|False|5|False|False|1608861645|898|Antigua Guatemala, Sacatepequez|False|False|False|False|True||||viajaconorus|ORUS 🐶|2020-12-24 20:00:45|['viajaconnosotrosgt', 'quepeladoguate', 'antiguaguatemala', 'quebonitaguate', 'instapuppy', 'instaguate', 'instadog', 'guatemala', 'guate', 'laantiguaguatemala', 'guateperro', 'guatedog', 'guatemalaimpresionante', 'visitguatemala', 'perhapsyouneedalittleguatemala', 'guatelinda', 'soy502', 'xmastime', 'christmastime']
2|15tZOVLZ7bS0zTimxOg9000s0foz1lVg|||GT|en|en_US|057EA42E-DB0E-4F1B-9331-1C7F9A70A4CA|BIBn3E_rWTci8Xn6P9Xj3btShT85Wdtne0LtwNUyRQ5XjFNkuTq9j4MPAVLvAFhXrUU1A9UxyxBA7YIOjqDIDHI|88|13069813a31a13dda6ba919fe0e9b45035c44b7de391fc460e3f758b7fccf307|10|False|b10813bd9030|es6|prod|2470889935284129228|CJKXU4Hss3M|1350|1080||||||ACEq53ecY6j35x9PSr9ppz3Cb8hV5657deP/AK9Z+fQV0kURFuERsOvX0/3fp60hoyJbRlBYEMB19R7/AE/lUak4AxkfSr0QZ2292I29sn/D+lZjMysf4Tk5Hoe/FQrsqSS2L+5f8iiqO8/3qKdiBy27EZAOev8An+dX7d5YyIxhQxPzAdM+31/KmhIn6FlI49f8QatQ2giLSsSRGCcYHX8PbP40xlyCBlO84L4wP7o+n9T3rMv7cuxkAyTw+PX1/HvitKAjaZGyij+93/z/APWqlvabhR8pyCO/Pfr+PSpd1Yta3uZe1PQ/kaKn+yXXofzoq7GYxGKdDVo3Ujp5fYnLYGSQO1QYqCTgcUijbe8ikRI+nOTntj/E1KqxsPl2k+vBrCBLAZ560dOnFPYW5o/ZJ/74/L/61FZ/mN6n8zRQFj//2Q==|https://instagram.fgua5-1.fna.fbcdn.net/v/t51.2885-15/e35/p1080x1080/132543932_1041763446305066_1300798573188732041_n.jpg?_nc_ht=instagram.fgua5-1.fna.fbcdn.net&_nc_cat=102&_nc_ohc=DtpnRCM3-dgAX99Voyl&tp=1&oh=6584ae1814a664f5a8eb181f242f609f&oe=60161E98|Photo by ORUS 🐶 in Guatemala. Image may contain: dog, sky, outdoor and nature.|False|eyJ2ZXJzaW9uIjo1LCJwYXlsb2FkIjp7ImlzX2FuYWx5dGljc190cmFja2VkIjp0cnVlLCJ1dWlkIjoiYWRhOWQ2ZjQ1OTZiNDM4MzlkNDY3MDAxMmY2YWI0NjgyNDcwODg5OTM1Mjg0MTI5MjI4In0sInNpZ25hdHVyZSI6IiJ9|[]|"Por un 2021 lleno de viajes en pick up 🚜
.
.
.
.
.
.
#viajaconnosotrosgt #quepeladoguate #antiguaguatemala #quebonitaguate #instapuppy #instaguate #instadog #guatemala #guate  #laantiguaguatemala #guateperro #guatedog #guatemalaimpresionante #visitguatemala #perhapsyouneedalittleguatemala #vive_america #guatelinda #soy502"|False|False|9|False|False|1608773055|791|Guatemala|False|False|False|False|True||||viajaconorus|ORUS 🐶|2020-12-23 19:24:15|['viajaconnosotrosgt', 'quepeladoguate', 'antiguaguatemala', 'quebonitaguate', 'instapuppy', 'instaguate', 'instadog', 'guatemala', 'guate', 'laantiguaguatemala', 'guateperro', 'guatedog', 'guatemalaimpresionante', 'visitguatemala', 'perhapsyouneedalittleguatemala', 'vive_america', 'guatelinda', 'soy502']
3|8nk5frbzehnmEsAbqP5FmjyPt1DSvDVE|||GT|en|en_US|70E3D52D-C4CC-4EEA-B18E-7659458F70BE|BIBn3E_rWTci8Xn6P9Xj3btShT85Wdtne0LtwNUyRQ5XjFNkuTq9j4MPAVLvAFhXrUU1A9UxyxBA7YIOjqDIDHI|88|13069813a31a13dda6ba919fe0e9b45035c44b7de391fc460e3f758b7fccf307|10|False|b10813bd9030|es6|prod|2470184083640248094|CJH21YjM2ce|720|1080||||||ACoccpz0GcHFP9yOKlkIJYnoWI/wqJTx15JwP6/0/DNZ82lzexOLcuvUD9aqpC0blW5Gc57VbgBRd7thSBgenFUrjdG2SdwOSD7ZHFXfS5l1aJriDzU4PzDoTx+BqjtccbKkDsW+fPsD2Hr+PrT9g9BSdmCiXkUNHh8KGOQSe/p6+tRQQZZt+cKOe3Pb8RVe0coGI9B/WtYDYuB2/wA5+tQnpY2krN6mbdukiBBn5fQf/qqEyISm/hVGMf1PtRdTMTtOCP8APes1iSeataoyejNWSRJGXaQxGfypazYTiQfXFauKllLY/9k=|https://instagram.fgua5-1.fna.fbcdn.net/v/t51.2885-15/e35/s1080x1080/132017545_155704005925982_7417075548220953840_n.jpg?_nc_ht=instagram.fgua5-1.fna.fbcdn.net&_nc_cat=102&_nc_ohc=8a1T0fwZoU4AX-19Kk4&tp=1&oh=ccf7556cefbe8baaad871279108e4658&oe=60143735|Photo by ORUS 🐶 in Iztapa, Escuintla, Guatemala. Image may contain: dog and outdoor.|False|eyJ2ZXJzaW9uIjo1LCJwYXlsb2FkIjp7ImlzX2FuYWx5dGljc190cmFja2VkIjp0cnVlLCJ1dWlkIjoiMmNlMzg2Y2ZkZTY3NDQ4NmFhMTZkZTZkNTNiNjAyZWMyNDcwMTg0MDgzNjQwMjQ4MDk0In0sInNpZ25hdHVyZSI6IiJ9|[]|"Encontramos esta foto de mi primer viaje 😍 fue a la playa y estaba tan feliz jugando entre la arena, que al otro día hice popó de arena 😂🏝
.
.
.
.
.
#viajaconnosotrosgt #quepeladoguate #antiguaguatemala #quebonitaguate #instapuppy #instaguate #instadog #guatemala #guate  #laantiguaguatemala #guateperro #guatedog #guatemalaimpresionante #visitguatemala #perhapsyouneedalittleguatemala #vive_america #guatelinda #soy502"|False|False|6|False|False|1608688911|752|Iztapa, Escuintla, Guatemala|False|False|False|False|True||||viajaconorus|ORUS 🐶|2020-12-22 20:01:51|['viajaconnosotrosgt', 'quepeladoguate', 'antiguaguatemala', 'quebonitaguate', 'instapuppy', 'instaguate', 'instadog', 'guatemala', 'guate', 'laantiguaguatemala', 'guateperro', 'guatedog', 'guatemalaimpresionante', 'visitguatemala', 'perhapsyouneedalittleguatemala', 'vive_america', 'guatelinda', 'soy502']
4|ZayOwCWUOKWCATYqsfNiYG0hBtMdx3F9|||GT|en|en_US|05344BE7-2B7A-44AC-BBFA-A75BB0CB2A38|BIBn3E_rWTci8Xn6P9Xj3btShT85Wdtne0LtwNUyRQ5XjFNkuTq9j4MPAVLvAFhXrUU1A9UxyxBA7YIOjqDIDHI|88|13069813a31a13dda6ba919fe0e9b45035c44b7de391fc460e3f758b7fccf307|10|False|b10813bd9030|es6|prod|2469440496093454396|CJFNwwrnWA8|1920|1080||||||ABcqvysJE25+9gH8+aqWmYwuSOCy8H8f5ingg5BqBHXLKCMhsj+v/wBes2WjRMxHeiqW8k4xzRV6diLvuU5pUmIj5Ib0Pcf0pUtIjuBwMYxtJyOeT71R3ksenHyqR/n9a10QIuT128n8Kh+Rol3Ltgu0FSVdh0YdSD0yDyCMc0ViR3G5yGwB0B7j8vyopklNOR6d631KleehH9KwyBgfT+taq/cX6CpLMVmCscc0VJqAAm444FFaIyZ//9k=|https://instagram.fgua5-1.fna.fbcdn.net/v/t51.2885-15/e35/131992886_382770846330876_4063183458436006794_n.jpg?_nc_ht=instagram.fgua5-1.fna.fbcdn.net&_nc_cat=100&_nc_ohc=U66Bq3eS_lwAX8B4Mtq&tp=1&oh=8efca729c9a04eb3e6229dad753860d7&oe=5FEEE9D3||True|eyJ2ZXJzaW9uIjo1LCJwYXlsb2FkIjp7ImlzX2FuYWx5dGljc190cmFja2VkIjp0cnVlLCJ1dWlkIjoiMjA4YTExNTBkMDVmNDg3MThiYzk0YWI4ODJlMGNiMjcyNDY5NDQwNDk2MDkzNDU0Mzk2In0sInNpZ25hdHVyZSI6IiJ9|[]|"Soy un perito muy aventurero ✈️
.
.
.
.
.
#viajaconnosotrosgt #quepeladoguate #antiguaguatemala #quebonitaguate #instapuppy #instaguate #instadog #guatemala #guate  #laantiguaguatemala #guateperro #guatedog #guatemalaimpresionante #visitguatemala #perhapsyouneedalittleguatemala #vive_america #guatelinda #soy502"|False|False|10|False|False|1608600341|483||False|False|False|False|True|https://instagram.fgua5-1.fna.fbcdn.net/v/t50.2886-16/132027377_891705241599987_6653036246549972987_n.mp4?_nc_ht=instagram.fgua5-1.fna.fbcdn.net&_nc_cat=103&_nc_ohc=-X-RAD-wWcEAX-k5oOp&oe=5FEF01EF&oh=8f0707041ca49584d6758c32547b6c8f|True|1522.0|viajaconorus|ORUS 🐶|2020-12-21 19:25:41|['viajaconnosotrosgt', 'quepeladoguate', 'antiguaguatemala', 'quebonitaguate', 'instapuppy', 'instaguate', 'instadog', 'guatemala', 'guate', 'laantiguaguatemala', 'guateperro', 'guatedog', 'guatemalaimpresionante', 'visitguatemala', 'perhapsyouneedalittleguatemala', 'vive_america', 'guatelinda', 'soy502']
5|VFkwOugFMqwy3unBL5icK1Trtr8NEos3|||GT|en|en_US|30B0FB79-5C2B-4F83-B7A2-DD55297B4101|BIBn3E_rWTci8Xn6P9Xj3btShT85Wdtne0LtwNUyRQ5XjFNkuTq9j4MPAVLvAFhXrUU1A9UxyxBA7YIOjqDIDHI|88|13069813a31a13dda6ba919fe0e9b45035c44b7de391fc460e3f758b7fccf307|10|False|b10813bd9030|es6|prod|2468728784739716693|CJCr7_1MU5V|1350|1080|||||||https://instagram.fgua5-1.fna.fbcdn.net/v/t51.2885-15/e35/p1080x1080/132106921_390478132020055_382064714962857116_n.jpg?_nc_ht=instagram.fgua5-1.fna.fbcdn.net&_nc_cat=107&_nc_ohc=Oh4v7X5Ml6UAX9-3TC2&tp=1&oh=b46854b48b4c7684af65754493abb748&oe=60169F80|Photo by ORUS 🐶 on December 20, 2020. Image may contain: dog, sky, cloud and outdoor.|False|eyJ2ZXJzaW9uIjo1LCJwYXlsb2FkIjp7ImlzX2FuYWx5dGljc190cmFja2VkIjp0cnVlLCJ1dWlkIjoiNDRjNjM4MGNkMmUxNDUyOTk5YzFhMmM4ZjMyMWM3MGEyNDY4NzI4Nzg0NzM5NzE2NjkzIn0sInNpZ25hdHVyZSI6IiJ9|[]|"Este lugar lo conocí en flash, pero se miraba muy bonito y lleno de lucesitas. Aproveché a tomarme una foto, claro que si 😅
.
.
.
.
#viajaconnosotrosgt #quepeladoguate #antiguaguatemala #quebonitaguate #instapuppy #instaguate #instadog #guatemala #guate  #laantiguaguatemala #guateperro #guatedog #guatemalaimpresionante #visitguatemala #perhapsyouneedalittleguatemala #vive_america #guatelinda #soy502"|False|False|3|False|False|1608515426|749|San Juan De La Ermita, Chiquimula, Guatemala|False|False|False|False|True||||viajaconorus|ORUS 🐶|2020-12-20 19:50:26|['viajaconnosotrosgt', 'quepeladoguate', 'antiguaguatemala', 'quebonitaguate', 'instapuppy', 'instaguate', 'instadog', 'guatemala', 'guate', 'laantiguaguatemala', 'guateperro', 'guatedog', 'guatemalaimpresionante', 'visitguatemala', 'perhapsyouneedalittleguatemala', 'vive_america', 'guatelinda', 'soy502']
6|KCItR8IfvJOxnFCK3pqQqzXGlk6PyRUk|||GT|en|en_US|9385C5F1-2F62-42BF-9B8E-1152D40C9EA7|BIBn3E_rWTci8Xn6P9Xj3btShT85Wdtne0LtwNUyRQ5XjFNkuTq9j4MPAVLvAFhXrUU1A9UxyxBA7YIOjqDIDHI|88|13069813a31a13dda6ba919fe0e9b45035c44b7de391fc460e3f758b7fccf307|10|False|b10813bd9030|es6|prod|2465077141636882916|CI1tpmLM6Hk|1350|1080|||||||https://instagram.fgua5-1.fna.fbcdn.net/v/t51.2885-15/e35/p1080x1080/131334349_208297810831644_5146198559766554551_n.jpg?_nc_ht=instagram.fgua5-1.fna.fbcdn.net&_nc_cat=100&_nc_ohc=U7na9uycEmkAX8ZHO8m&tp=1&oh=dc4731a32a00e655b71bb111d82e71c1&oe=60176331|Photo by ORUS 🐶 on December 15, 2020. Image may contain: sky, cloud, tree, outdoor and nature.|False|eyJ2ZXJzaW9uIjo1LCJwYXlsb2FkIjp7ImlzX2FuYWx5dGljc190cmFja2VkIjp0cnVlLCJ1dWlkIjoiMjZlZGMyYTFkMGFiNDM2M2EyYWQ1N2JjNmE1MTQyMTQyNDY1MDc3MTQxNjM2ODgyOTE2In0sInNpZ25hdHVyZSI6IiJ9|[]|"Fan de acampar, de los amaneceres y de mi @supercan.msa 💛
.
.
.
.
#viajaconnosotrosgt #quepeladoguate #antiguaguatemala #quebonitaguate #instapuppy #instaguate #instadog #guatemala #guate  #laantiguaguatemala #guateperro #guatedog #guatemalaimpresionante #visitguatemala #perhapsyouneedalittleguatemala #vive_america #guatelinda #soy502"|False|False|10|False|False|1608080116|920|Santa Clara La Laguna, Solola, Guatemala|False|False|False|False|True||||viajaconorus|ORUS 🐶|2020-12-15 18:55:16|['viajaconnosotrosgt', 'quepeladoguate', 'antiguaguatemala', 'quebonitaguate', 'instapuppy', 'instaguate', 'instadog', 'guatemala', 'guate', 'laantiguaguatemala', 'guateperro', 'guatedog', 'guatemalaimpresionante', 'visitguatemala', 'perhapsyouneedalittleguatemala', 'vive_america', 'guatelinda', 'soy502']
7|5wwsPbhZiHOa8Dh1vMQ6GRNURsacHlrP|||GT|en|en_US|5BB3B7A5-1D18-4A68-B1FD-AFE480B657FF|BIBn3E_rWTci8Xn6P9Xj3btShT85Wdtne0LtwNUyRQ5XjFNkuTq9j4MPAVLvAFhXrUU1A9UxyxBA7YIOjqDIDHI|88|13069813a31a13dda6ba919fe0e9b45035c44b7de391fc460e3f758b7fccf307|10|False|b10813bd9030|es6|prod|2464360320050861883|CIzKqeDMxc7|1350|1080|||||||https://instagram.fgua5-1.fna.fbcdn.net/v/t51.2885-15/e35/p1080x1080/131050497_1072285146552156_4046662598212618514_n.jpg?_nc_ht=instagram.fgua5-1.fna.fbcdn.net&_nc_cat=100&_nc_ohc=ppAjRz6Ra6gAX-fx36i&tp=1&oh=265b4ffd23851a1f2614de5268bef5bf&oe=6014E384|Photo shared by ORUS 🐶 on December 14, 2020 tagging @fincaeledenguate. Image may contain: airplane, sky and outdoor.|False|eyJ2ZXJzaW9uIjo1LCJwYXlsb2FkIjp7ImlzX2FuYWx5dGljc190cmFja2VkIjp0cnVlLCJ1dWlkIjoiYzZhOGIzNDBkMzhkNDA1MWI4M2ZjNGRiMjNhMTJhNWMyNDY0MzYwMzIwMDUwODYxODgzIn0sInNpZ25hdHVyZSI6IiJ9|['viajaconnosotrosgt', 'fincaeledenguate']|"Se que puedo volar 😍 y ayer tuve la oportunidad de hacerlo por primera vez, fue simplemente MÁGICO, aunque me dormí un rato (tengo que admitirlo 😅) no me asusté nadita, disfruté de las vistas y de ser uno con el cielo ☁️

Gracias por consentirme tanto @fincaeledenguate ♥️
.
.
.
.
#viajaconnosotrosgt #quepeladoguate #antiguaguatemala #quebonitaguate #instapuppy #instaguate #instadog #guatemala #guate  #laantiguaguatemala #guateperro #guatedog #guatemalaimpresionante #visitguatemala #perhapsyouneedalittleguatemala #vive_america #guatelinda #soy502"|False|False|16|False|False|1607994664|1201|Guatemala|False|False|False|False|True||||viajaconorus|ORUS 🐶|2020-12-14 19:11:04|['viajaconnosotrosgt', 'quepeladoguate', 'antiguaguatemala', 'quebonitaguate', 'instapuppy', 'instaguate', 'instadog', 'guatemala', 'guate', 'laantiguaguatemala', 'guateperro', 'guatedog', 'guatemalaimpresionante', 'visitguatemala', 'perhapsyouneedalittleguatemala', 'vive_america', 'guatelinda', 'soy502']
8|xEIg8aWJ85wCuxX2f0Yps28DzdTCLgcx|||GT|en|en_US|B30EAF9B-506E-4F8C-BDF5-1B441785D1EC|BIBn3E_rWTci8Xn6P9Xj3btShT85Wdtne0LtwNUyRQ5XjFNkuTq9j4MPAVLvAFhXrUU1A9UxyxBA7YIOjqDIDHI|88|13069813a31a13dda6ba919fe0e9b45035c44b7de391fc460e3f758b7fccf307|10|False|b10813bd9030|es6|prod|2461491992638677147|CIo-ez-smCb|1350|1080|||||||https://instagram.fgua5-1.fna.fbcdn.net/v/t51.2885-15/e35/p1080x1080/130286587_211287240557486_5881254988459687476_n.jpg?_nc_ht=instagram.fgua5-1.fna.fbcdn.net&_nc_cat=102&_nc_ohc=t6-2vxknRpYAX9ybGVP&tp=1&oh=9de81e9134e6cda8d3dac8d3b3dc25d4&oe=60165123|Photo by ORUS 🐶 on December 10, 2020. Image may contain: dog, sky, outdoor and nature.|False|eyJ2ZXJzaW9uIjo1LCJwYXlsb2FkIjp7ImlzX2FuYWx5dGljc190cmFja2VkIjp0cnVlLCJ1dWlkIjoiNDk5MDA3MTk0ZjNkNDAzM2E5OTFlNWNkNTBiMmI3YjMyNDYxNDkxOTkyNjM4Njc3MTQ3In0sInNpZ25hdHVyZSI6IiJ9|[]|"Este finde me fui a dar una vuelta por el Oriente, mi viaje se resume en:

1. Disfruté tanto que no me tomé muchas fotos 😳

2. Me conecté con la naturaleza y con las cámaras (porque aunque mis papás fallaron con las fotos, los demás no)

3. Hice muchos amigos

4. No dejé de sacar la lengua en todo el viaje 😜

Cómo siempre mil gracias al @inguatoficial @paseoguatemala por hacer paseos pensados en perritos y por consentirme tanto 🥰
.
.
.
.
#viajaconnosotrosgt #quepeladoguate #antiguaguatemala #quebonitaguate #instapuppy #instaguate #instadog #guatemala #guate  #laantiguaguatemala #guateperro #guatedog #guatemalaimpresionante #visitguatemala #perhapsyouneedalittleguatemala #vive_america #guatelinda #soy502"|False|False|7|False|False|1607652733|1007|La Perla De Oriente, Chiquimula, Guatemala|False|False|False|False|True||||viajaconorus|ORUS 🐶|2020-12-10 20:12:13|['viajaconnosotrosgt', 'quepeladoguate', 'antiguaguatemala', 'quebonitaguate', 'instapuppy', 'instaguate', 'instadog', 'guatemala', 'guate', 'laantiguaguatemala', 'guateperro', 'guatedog', 'guatemalaimpresionante', 'visitguatemala', 'perhapsyouneedalittleguatemala', 'vive_america', 'guatelinda', 'soy502']
9|2uw4om7wFrhuWQrp9z50MzgKOz3NiWgr|||GT|en|en_US|F1388B3E-4D10-4DE2-A0AA-E25DC213E365|BIBn3E_rWTci8Xn6P9Xj3btShT85Wdtne0LtwNUyRQ5XjFNkuTq9j4MPAVLvAFhXrUU1A9UxyxBA7YIOjqDIDHI|88|13069813a31a13dda6ba919fe0e9b45035c44b7de391fc460e3f758b7fccf307|10|False|b10813bd9030|es6|prod|2453493675897100696|CIMj3_Cg5mY|1349|1080||||||ACEqklunGVB+XPB/H/GoIbkB+e3Uj+X1qeSOOPgnr3PXHcfgapFNuQvzBT16d+f16Co3BuxdhnHmlmdivYHjd7H0x2q3JyOQQM98fiB/SsbNXvNZoQgBJz19h0/KqJi7lnzV9B+X/wBaiqWf9kfn/wDWooLGtdRfebGO3rn19cVFHdq77VTcvHHc+9IbKL0P50gkEbAD924AVl25OR/dP+0Pw71NhrzLk3lKf3h6579Mf0/XmmGZCp2EAZB6jv0x+I6VXeyV8ks3PJ6dfyph09PU/pTEPx/nj/4qiov7OT1b9KKALTPimmHcwmGdwXgfpn16VC1Qr96gZfDU7NQr1oJ4oAn3UVFRQB//2Q==|https://instagram.fgua5-1.fna.fbcdn.net/v/t51.2885-15/e35/p1080x1080/128229864_676853116365003_9174459655678684890_n.jpg?_nc_ht=instagram.fgua5-1.fna.fbcdn.net&_nc_cat=103&_nc_ohc=Se_tMBv-drkAX9aZ5k_&tp=1&oh=e2191f06ddb3c02a217faff82bc2cdce&oe=60166E89|Photo by ORUS 🐶 in Antigua Guatemala, Sacatepequez. Image may contain: dog, tree and outdoor.|False|eyJ2ZXJzaW9uIjo1LCJwYXlsb2FkIjp7ImlzX2FuYWx5dGljc190cmFja2VkIjp0cnVlLCJ1dWlkIjoiNmFjMjAzYjc4OTgwNGZjODhhMmVhMGNlYzIwZjllNTYyNDUzNDkzNjc1ODk3MTAwNjk2In0sInNpZ25hdHVyZSI6IiJ9|[]|"¿Lograron ir al festival de las flores? 🌻
.
.
.
.
.
.
#viajaconnosotrosgt #quepeladoguate #antiguaguatemala #quebonitaguate #instapuppy #instaguate #instadog #guatemala #guate  #laantiguaguatemala #guateperro #guatedog #guatemalaimpresionante #visitguatemala #perhapsyouneedalittleguatemala #vive_america #guatelinda #soy502"|False|False|7|False|False|1606699259|876|Antigua Guatemala, Sacatepequez|False|False|False|False|True||||viajaconorus|ORUS 🐶|2020-11-29 19:20:59|['viajaconnosotrosgt', 'quepeladoguate', 'antiguaguatemala', 'quebonitaguate', 'instapuppy', 'instaguate', 'instadog', 'guatemala', 'guate', 'laantiguaguatemala', 'guateperro', 'guatedog', 'guatemalaimpresionante', 'visitguatemala', 'perhapsyouneedalittleguatemala', 'vive_america', 'guatelinda', 'soy502']
